fecha_snapshot,fecha_dato,geografia,variable,valor,unidad,fuente
2026-07-15,2026-07-15,COLOMBIA,fx_usd_local,3234.52001953125,COP/USD,yfinance
2026-07-15,2026-07-15,GLOBAL,precio_cafe_arabica,335.04998779296875,USc/lb,yfinance
2026-07-15,2026-07-14,COLOMBIA,precio_interno_referencia,2265000.0,COP/carga_125kg,FNC
2026-07-15,2026-06-01,COLOMBIA,produccion_nacional,1304.0,miles_sacos_60kg,FNC
2026-07-15,2026-05-01,COLOMBIA,exportaciones_cafe,921.432,miles_sacos_60kg,FNC
2026-07-15,2026-07-15,Antioquia,precipitacion_semanal,15.3,mm,open-meteo
2026-07-15,2026-07-15,Antioquia,temp_min_semanal,17.2,°C,open-meteo
2026-07-15,2026-07-15,Antioquia,temp_max_semanal,31.4,°C,open-meteo
2026-07-15,2026-07-15,Antioquia,temp_promedio_semanal,24.1063,°C,open-meteo
2026-07-15,2026-07-15,Caldas,precipitacion_semanal,41.6,mm,open-meteo
2026-07-15,2026-07-15,Caldas,temp_min_semanal,11.9,°C,open-meteo
2026-07-15,2026-07-15,Caldas,temp_max_semanal,23.3,°C,open-meteo
2026-07-15,2026-07-15,Caldas,temp_promedio_semanal,17.1625,°C,open-meteo
2026-07-15,2026-07-15,Cauca,precipitacion_semanal,10.6,mm,open-meteo
2026-07-15,2026-07-15,Cauca,temp_min_semanal,15.4,°C,open-meteo
2026-07-15,2026-07-15,Cauca,temp_max_semanal,29.9,°C,open-meteo
2026-07-15,2026-07-15,Cauca,temp_promedio_semanal,22.125,°C,open-meteo
2026-07-15,2026-07-15,Huila,precipitacion_semanal,47.9,mm,open-meteo
2026-07-15,2026-07-15,Huila,temp_min_semanal,14.6,°C,open-meteo
2026-07-15,2026-07-15,Huila,temp_max_semanal,25.9,°C,open-meteo
2026-07-15,2026-07-15,Huila,temp_promedio_semanal,20.2938,°C,open-meteo
2026-07-15,2026-07-15,Nariño,precipitacion_semanal,20.2,mm,open-meteo
2026-07-15,2026-07-15,Nariño,temp_min_semanal,16.1,°C,open-meteo
2026-07-15,2026-07-15,Nariño,temp_max_semanal,28.5,°C,open-meteo
2026-07-15,2026-07-15,Nariño,temp_promedio_semanal,21.8125,°C,open-meteo
2026-07-15,2026-07-15,Quindío,precipitacion_semanal,58.0,mm,open-meteo
2026-07-15,2026-07-15,Quindío,temp_min_semanal,15.2,°C,open-meteo
2026-07-15,2026-07-15,Quindío,temp_max_semanal,29.3,°C,open-meteo
2026-07-15,2026-07-15,Quindío,temp_promedio_semanal,21.7125,°C,open-meteo
2026-07-15,2026-07-15,Risaralda,precipitacion_semanal,17.2,mm,open-meteo
2026-07-15,2026-07-15,Risaralda,temp_min_semanal,15.9,°C,open-meteo
2026-07-15,2026-07-15,Risaralda,temp_max_semanal,30.0,°C,open-meteo
2026-07-15,2026-07-15,Risaralda,temp_promedio_semanal,22.6187,°C,open-meteo
2026-07-15,2026-07-15,Tolima,precipitacion_semanal,36.9,mm,open-meteo
2026-07-15,2026-07-15,Tolima,temp_min_semanal,15.7,°C,open-meteo
2026-07-15,2026-07-15,Tolima,temp_max_semanal,27.6,°C,open-meteo
2026-07-15,2026-07-15,Tolima,temp_promedio_semanal,21.0438,°C,open-meteo
